"Date","WM1NS"
2020-01-01,4247
2020-01-02,4247
2020-01-03,4247
2020-01-04,4247
2020-01-05,4247
2020-01-06,3991.5
2020-01-07,3991.5
2020-01-08,3991.5
2020-01-09,3991.5
2020-01-10,3991.5
2020-01-11,3991.5
2020-01-12,3991.5
2020-01-13,3847.1
2020-01-14,3847.1
2020-01-15,3847.1
2020-01-16,3847.1
2020-01-17,3847.1
2020-01-18,3847.1
2020-01-19,3847.1
2020-01-20,3943.5
2020-01-21,3943.5
2020-01-22,3943.5
2020-01-23,3943.5
2020-01-24,3943.5
2020-01-25,3943.5
2020-01-26,3943.5
2020-01-27,4060.2
2020-01-28,4060.2
2020-01-29,4060.2
2020-01-30,4060.2
2020-01-31,4060.2
2020-02-01,4060.2
2020-02-02,4060.2
2020-02-03,4156.5
2020-02-04,4156.5
2020-02-05,4156.5
2020-02-06,4156.5
2020-02-07,4156.5
2020-02-08,4156.5
2020-02-09,4156.5
2020-02-10,3839.2
2020-02-11,3839.2
2020-02-12,3839.2
2020-02-13,3839.2
2020-02-14,3839.2
2020-02-15,3839.2
2020-02-16,3839.2
2020-02-17,3857.6
2020-02-18,3857.6
2020-02-19,3857.6
2020-02-20,3857.6
2020-02-21,3857.6
2020-02-22,3857.6
2020-02-23,3857.6
2020-02-24,3948.7
2020-02-25,3948.7
2020-02-26,3948.7
2020-02-27,3948.7
2020-02-28,3948.7
2020-02-29,3948.7
2020-03-01,3948.7
2020-03-02,4078.4
2020-03-03,4078.4
2020-03-04,4078.4
2020-03-05,4078.4
2020-03-06,4078.4
2020-03-07,4078.4
2020-03-08,4078.4
2020-03-09,3940.5
2020-03-10,3940.5
2020-03-11,3940.5
2020-03-12,3940.5
2020-03-13,3940.5
2020-03-14,3940.5
2020-03-15,3940.5
2020-03-16,4055.1
2020-03-17,4055.1
2020-03-18,4055.1
2020-03-19,4055.1
2020-03-20,4055.1
2020-03-21,4055.1
2020-03-22,4055.1
2020-03-23,4374.7
2020-03-24,4374.7
2020-03-25,4374.7
2020-03-26,4374.7
2020-03-27,4374.7
2020-03-28,4374.7
2020-03-29,4374.7
2020-03-30,4772.3
2020-03-31,4772.3
2020-04-01,4772.3
2020-04-02,4772.3
2020-04-03,4772.3
2020-04-04,4772.3
2020-04-05,4772.3
2020-04-06,4607.1
2020-04-07,4607.1
2020-04-08,4607.1
2020-04-09,4607.1
2020-04-10,4607.1
2020-04-11,4607.1
2020-04-12,4607.1
2020-04-13,4620.4
2020-04-14,4620.4
2020-04-15,4620.4
2020-04-16,4620.4
2020-04-17,4620.4
2020-04-18,4620.4
2020-04-19,4620.4
2020-04-20,4879.4
2020-04-21,4879.4
2020-04-22,4879.4
2020-04-23,4879.4
2020-04-24,4879.4
2020-04-25,4879.4
2020-04-26,4879.4
2020-04-27,5108.9
2020-04-28,5108.9
2020-04-29,5108.9
2020-04-30,5108.9
2020-05-01,5108.9
2020-05-02,5108.9
2020-05-03,5108.9
2020-05-04,15940.7
2020-05-05,15940.7
2020-05-06,15940.7
2020-05-07,15940.7
2020-05-08,15940.7
2020-05-09,15940.7
2020-05-10,15940.7
2020-05-11,16072.2
2020-05-12,16072.2
2020-05-13,16072.2
