"Date","WM2NS"
2020-01-01,15473.1
2020-01-02,15473.1
2020-01-03,15473.1
2020-01-04,15473.1
2020-01-05,15473.1
2020-01-06,15505.5
2020-01-07,15505.5
2020-01-08,15505.5
2020-01-09,15505.5
2020-01-10,15505.5
2020-01-11,15505.5
2020-01-12,15505.5
2020-01-13,15474.3
2020-01-14,15474.3
2020-01-15,15474.3
2020-01-16,15474.3
2020-01-17,15474.3
2020-01-18,15474.3
2020-01-19,15474.3
2020-01-20,15428.1
2020-01-21,15428.1
2020-01-22,15428.1
2020-01-23,15428.1
2020-01-24,15428.1
2020-01-25,15428.1
2020-01-26,15428.1
2020-01-27,15315.7
2020-01-28,15315.7
2020-01-29,15315.7
2020-01-30,15315.7
2020-01-31,15315.7
2020-02-01,15315.7
2020-02-02,15315.7
2020-02-03,15380
2020-02-04,15380
2020-02-05,15380
2020-02-06,15380
2020-02-07,15380
2020-02-08,15380
2020-02-09,15380
2020-02-10,15383.5
2020-02-11,15383.5
2020-02-12,15383.5
2020-02-13,15383.5
2020-02-14,15383.5
2020-02-15,15383.5
2020-02-16,15383.5
2020-02-17,15415.2
2020-02-18,15415.2
2020-02-19,15415.2
2020-02-20,15415.2
2020-02-21,15415.2
2020-02-22,15415.2
2020-02-23,15415.2
2020-02-24,15350.4
2020-02-25,15350.4
2020-02-26,15350.4
2020-02-27,15350.4
2020-02-28,15350.4
2020-02-29,15350.4
2020-03-01,15350.4
2020-03-02,15510.5
2020-03-03,15510.5
2020-03-04,15510.5
2020-03-05,15510.5
2020-03-06,15510.5
2020-03-07,15510.5
2020-03-08,15510.5
2020-03-09,15646.2
2020-03-10,15646.2
2020-03-11,15646.2
2020-03-12,15646.2
2020-03-13,15646.2
2020-03-14,15646.2
2020-03-15,15646.2
2020-03-16,15839.8
2020-03-17,15839.8
2020-03-18,15839.8
2020-03-19,15839.8
2020-03-20,15839.8
2020-03-21,15839.8
2020-03-22,15839.8
2020-03-23,16210.2
2020-03-24,16210.2
2020-03-25,16210.2
2020-03-26,16210.2
2020-03-27,16210.2
2020-03-28,16210.2
2020-03-29,16210.2
2020-03-30,16629.2
2020-03-31,16629.2
2020-04-01,16629.2
2020-04-02,16629.2
2020-04-03,16629.2
2020-04-04,16629.2
2020-04-05,16629.2
2020-04-06,16787.7
2020-04-07,16787.7
2020-04-08,16787.7
2020-04-09,16787.7
2020-04-10,16787.7
2020-04-11,16787.7
2020-04-12,16787.7
2020-04-13,16934.3
2020-04-14,16934.3
2020-04-15,16934.3
2020-04-16,16934.3
2020-04-17,16934.3
2020-04-18,16934.3
2020-04-19,16934.3
2020-04-20,17195.5
2020-04-21,17195.5
2020-04-22,17195.5
2020-04-23,17195.5
2020-04-24,17195.5
2020-04-25,17195.5
2020-04-26,17195.5
2020-04-27,17334.5
2020-04-28,17334.5
2020-04-29,17334.5
2020-04-30,17334.5
2020-05-01,17334.5
2020-05-02,17334.5
2020-05-03,17334.5
2020-05-04,17552.5
2020-05-05,17552.5
2020-05-06,17552.5
2020-05-07,17552.5
2020-05-08,17552.5
2020-05-09,17552.5
2020-05-10,17552.5
2020-05-11,17690.3
2020-05-12,17690.3
2020-05-13,17690.3
2020-05-14,17690.3
2020-05-15,17690.3
2020-05-16,17690.3
2020-05-17,17690.3
2020-05-18,17822.9
2020-05-19,17822.9
2020-05-20,17822.9
2020-05-21,17822.9
2020-05-22,17822.9
2020-05-23,17822.9
2020-05-24,17822.9
2020-05-25,17797.8
2020-05-26,17797.8
2020-05-27,17797.8
2020-05-28,17797.8
2020-05-29,17797.8
2020-05-30,17797.8
2020-05-31,17797.8
2020-06-01,17928.9
2020-06-02,17928.9
2020-06-03,17928.9
2020-06-04,17928.9
2020-06-05,17928.9
2020-06-06,17928.9
2020-06-07,17928.9
2020-06-08,18040.9
2020-06-09,18040.9
2020-06-10,18040.9
2020-06-11,18040.9
2020-06-12,18040.9
2020-06-13,18040.9
2020-06-14,18040.9
2020-06-15,18129.2
2020-06-16,18129.2
2020-06-17,18129.2
2020-06-18,18129.2
2020-06-19,18129.2
2020-06-20,18129.2
2020-06-21,18129.2
2020-06-22,18119.7
2020-06-23,18119.7
2020-06-24,18119.7
2020-06-25,18119.7
2020-06-26,18119.7
2020-06-27,18119.7
2020-06-28,18119.7
2020-06-29,18174.2
2020-06-30,18174.2
2020-07-01,18174.2
2020-07-02,18174.2
2020-07-03,18174.2
2020-07-04,18174.2
2020-07-05,18174.2
2020-07-06,18357.3
2020-07-07,18357.3
2020-07-08,18357.3
2020-07-09,18357.3
2020-07-10,18357.3
2020-07-11,18357.3
2020-07-12,18357.3
2020-07-13,18360.2
2020-07-14,18360.2
2020-07-15,18360.2
2020-07-16,18360.2
2020-07-17,18360.2
2020-07-18,18360.2
2020-07-19,18360.2
2020-07-20,18257.8
2020-07-21,18257.8
2020-07-22,18257.8
2020-07-23,18257.8
2020-07-24,18257.8
2020-07-25,18257.8
2020-07-26,18257.8
2020-07-27,18125.7
2020-07-28,18125.7
2020-07-29,18125.7
2020-07-30,18125.7
2020-07-31,18125.7
2020-08-01,18125.7
2020-08-02,18125.7
2020-08-03,18237.4
2020-08-04,18237.4
2020-08-05,18237.4
2020-08-06,18237.4
2020-08-07,18237.4
2020-08-08,18237.4
2020-08-09,18237.4
2020-08-10,18304
2020-08-11,18304
2020-08-12,18304
2020-08-13,18304
2020-08-14,18304
2020-08-15,18304
2020-08-16,18304
2020-08-17,18373.4
2020-08-18,18373.4
2020-08-19,18373.4
2020-08-20,18373.4
2020-08-21,18373.4
2020-08-22,18373.4
2020-08-23,18373.4
2020-08-24,18273.8
2020-08-25,18273.8
2020-08-26,18273.8
2020-08-27,18273.8
2020-08-28,18273.8
2020-08-29,18273.8
2020-08-30,18273.8
2020-08-31,18392.9
2020-09-01,18392.9
2020-09-02,18392.9
2020-09-03,18392.9
2020-09-04,18392.9
2020-09-05,18392.9
2020-09-06,18392.9
2020-09-07,18528.3
2020-09-08,18528.3
2020-09-09,18528.3
2020-09-10,18528.3
2020-09-11,18528.3
2020-09-12,18528.3
2020-09-13,18528.3
